filename,module_name,module_params,execution_time,average_output_token,rouge,sem_score,bert_score,is_best
0.parquet,openai_llm,"{'llm': 'gpt-4o-mini', 'temperature': 0.1, 'batch': 2}",1.3872963477825295,94.06896551724138,0.5727066144061981,0.919739846665501,0.7837451264776033,False
1.parquet,openai_llm,"{'llm': 'gpt-4o-mini', 'temperature': 0.4, 'batch': 2}",2.112078140521872,91.48275862068965,0.6062315186207574,0.9224320462193263,0.7853709356538181,False
2.parquet,openai_llm,"{'llm': 'gpt-4o-mini', 'temperature': 0.3, 'batch': 2}",1.6389928028501313,90.24137931034483,0.60699314208442,0.9215411753872236,0.7899695984248457,False
3.parquet,openai_llm,"{'llm': 'gpt-4o-mini', 'temperature': 0.2, 'batch': 2}",1.3875243417147933,89.51724137931035,0.5933642422486236,0.9240120919970517,0.7942899650540846,False
4.parquet,openai_llm,"{'llm': 'gpt-4o-mini', 'temperature': 0.5, 'batch': 2}",1.4194547883395492,88.58620689655173,0.6310809986426512,0.9240067843149851,0.7888897821821016,True
5.parquet,openai_llm,"{'llm': 'gpt-4o-mini', 'temperature': 0.6, 'batch': 2}",1.5862625878432701,94.44827586206897,0.5915900298413376,0.9182387360351674,0.7776990039595242,False
6.parquet,openai_llm,"{'llm': 'gpt-4o-mini', 'temperature': 0.7, 'batch': 2}",1.4818931365835255,91.10344827586206,0.6213609581763739,0.9214710492958802,0.7835316986873232,False
7.parquet,openai_llm,"{'llm': 'gpt-4o-mini', 'temperature': 0.8, 'batch': 2}",1.505105972290039,89.37931034482759,0.6040904323011722,0.9225148285863317,0.7868715257480227,False
8.parquet,openai_llm,"{'llm': 'gpt-4o-mini', 'temperature': 0.9, 'batch': 2}",1.5693866220013848,82.34482758620689,0.6207844662365855,0.9244966696809613,0.7924321191064243,False
9.parquet,openai_llm,"{'llm': 'gpt-4o-mini', 'temperature': 1.0, 'batch': 2}",1.813259165862511,92.48275862068965,0.6069913627883095,0.9221247206349376,0.7792420099521505,False
